epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.6091,1.1553,2.96643,1.50607,0.79948,0.85578,0.8368,0.56302,1.15034,1.68237,1.57134,0.00045728,0.00045728,0.00045728
2,70.8226,0.83954,1.40418,1.221,0.73917,0.69429,0.70371,0.48457,1.2941,1.68921,1.54134,0.000917355,0.000917355,0.000917355
3,93.3303,0.94978,1.2076,1.29134,0.55778,0.95699,0.84428,0.64012,0.94153,2.28903,1.63376,0.00136576,0.00136576,0.00136576
4,116.704,0.86337,1.00113,1.22361,0.55064,0.75671,0.80951,0.56316,1.15224,5.82802,1.60538,0.00137595,0.00137595,0.00137595
5,139.386,0.80101,0.83964,1.18393,0.69597,0.84968,0.92808,0.69594,0.86063,1.81212,1.24481,0.00135826,0.00135826,0.00135826
6,162.541,0.74852,0.72445,1.12835,0.83336,0.92379,0.92119,0.66866,0.97058,0.93682,1.1559,0.00134058,0.00134058,0.00134058
7,183.394,0.74984,0.67338,1.14551,0.89236,0.95442,0.92744,0.71004,0.89339,0.70254,1.18438,0.0013229,0.0013229,0.0013229
8,206.496,0.76898,0.64722,1.14625,0.60204,0.79657,0.82762,0.64467,1.00416,2.38119,1.24157,0.00130521,0.00130521,0.00130521
9,225.405,0.72103,0.59956,1.10056,0.87491,0.9541,0.95032,0.72124,0.91763,0.68173,1.15056,0.00128753,0.00128753,0.00128753
10,248.232,0.65805,0.53715,1.07181,0.97115,0.89831,0.9747,0.74372,0.87358,0.57432,1.0232,0.00126985,0.00126985,0.00126985
11,271.239,0.6702,0.51193,1.08119,0.96932,0.96835,0.96368,0.7941,0.7559,0.55174,1.00049,0.00125216,0.00125216,0.00125216
12,294.48,0.66923,0.52181,1.07679,0.96589,0.95592,0.95545,0.76309,0.80242,0.59413,0.97564,0.00123448,0.00123448,0.00123448
13,314.478,0.66059,0.51217,1.08316,0.60805,0.84592,0.68301,0.46576,1.54358,2.41805,1.89297,0.00121679,0.00121679,0.00121679
14,337.26,0.63684,0.50728,1.06572,0.96609,0.94624,0.96623,0.80426,0.76829,0.5219,0.96766,0.00119911,0.00119911,0.00119911
15,356.484,0.61169,0.48348,1.03654,0.96986,0.94448,0.96727,0.80859,0.74775,0.54929,0.94807,0.00118143,0.00118143,0.00118143
16,378.584,0.60946,0.47643,1.05978,0.96685,0.97716,0.97648,0.82985,0.73686,0.44236,0.96409,0.00116374,0.00116374,0.00116374
17,400.465,0.62204,0.45575,1.04204,0.97116,0.96615,0.97277,0.78644,0.84002,0.52939,1.04686,0.00114606,0.00114606,0.00114606
18,421.767,0.59577,0.43828,1.0349,0.97556,0.97849,0.97312,0.83975,0.71117,0.45466,0.89465,0.00112837,0.00112837,0.00112837
19,445.918,0.62462,0.439,1.04357,0.94244,0.9755,0.94464,0.80612,0.67188,0.49201,0.92185,0.00111069,0.00111069,0.00111069
20,466.627,0.58759,0.42941,1.04137,0.97364,0.98699,0.97493,0.83626,0.64318,0.45527,0.87122,0.00109301,0.00109301,0.00109301
21,488.349,0.58231,0.42932,1.05008,0.96341,0.97415,0.97484,0.8275,0.65161,0.44169,0.9158,0.00107532,0.00107532,0.00107532
22,509.833,0.57632,0.42578,1.02442,0.96385,0.97098,0.96788,0.82409,0.63997,0.43597,0.89898,0.00105764,0.00105764,0.00105764
23,533.162,0.59119,0.44267,1.04637,0.97746,0.97849,0.97099,0.84591,0.6273,0.45184,0.86503,0.00103995,0.00103995,0.00103995
24,556.186,0.57147,0.43488,1.02209,0.97479,0.98835,0.97932,0.84295,0.64541,0.4531,0.87966,0.00102227,0.00102227,0.00102227
25,578.437,0.54723,0.41718,1.00612,0.9781,0.97916,0.97934,0.86314,0.6106,0.43426,0.86365,0.00100459,0.00100459,0.00100459
26,598.997,0.55951,0.39251,1.01867,0.97841,0.97849,0.96696,0.84268,0.65099,0.41254,0.90191,0.000986903,0.000986903,0.000986903
27,620.067,0.56089,0.38801,1.00172,0.97746,0.97849,0.96827,0.85597,0.64148,0.41591,0.89099,0.000969219,0.000969219,0.000969219
28,643.29,0.55268,0.39681,1.01825,0.97632,0.98925,0.97434,0.84519,0.59906,0.39906,0.8554,0.000951535,0.000951535,0.000951535
